Diameter_cm,Longitude,Latitude,Height_m,Volume_cum,SubPlot,x2,x3,DBHClass,Diameter_in,Height_ft,Volume_cuft,CC
28,1563,1541,21.6,0.598,D1,70,0,3,11.02362205,70.866144,21.11817069,D
26,1563,1956,16.2,0.361,D1,22,0,3,10.23622047,53.149608,12.74859468,S
29,1564,1166,14.9,0.409,D1,131,0,3,11.41732283,48.884516,14.44369869,S
30,1565,2546,23.5,0.833,C1,57,0,3,11.81102362,77.09974,29.41711737,D
98,1569,1884,57.3,13.267,D1,18,0,10,38.58267717,187.992132,468.5196833,D
28,1569,2538,18.9,0.548,C1,56,0,3,11.02362205,62.007876,19.35243736,S
33,1569,4034,17.4,0.77,A1,114,0,3,12.99212598,57.086616,27.19229337,S
37,1571,2123,22.6,0.942,C1,110,0,4,14.56692913,74.146984,33.26641604,D
45,1580,2080,23.5,1.443,C1,111,0,5,17.71653543,77.09974,50.95906406,D
51,1581,4154,27.4,1.514,A1,116,0,5,20.07874016,89.895016,53.4664054,D
32,1582,4082,18,0.62,A1,115,0,3,12.5984252,59.05512,21.89509336,S
73,1586,1386,43.9,5.586,D1,92,0,7,28.74015748,144.028876,197.2677283,D
59,1586,3371,19.5,1.809,B1,83,0,6,23.22834646,63.97638,63.88423208,S
67,1591,3141,28,4.454,B1,108,0,7,26.37795276,91.86352,157.2915255,D
53,1591,3538,25.3,2.386,B1,62,0,5,20.86614173,83.005252,84.26079477,D
25,1591,4259,12.2,0.286,A1,90,0,3,9.842519685,40.026248,10.09999468,S
32,1595,1739,19.5,0.596,D1,45,14,3,12.5984252,63.97638,21.04754136,S
32,1596,3501,17.7,0.561,B1,63,0,3,12.5984252,58.070868,19.81152803,S
30,1608,3846,17.4,0.479,B1,16,0,3,11.81102362,57.086616,16.91572535,S
48,1609,2075,25.3,2.114,C1,112,8,3,18.8976378,83.005252,74.65520543,D
50,1610,1957,25.3,2.028,D1,24,0,5,19.68503937,83.005252,71.61814409,D
43,1614,2674,23.9,1.625,C1,30,0,4,16.92913386,78.412076,57.38633341,D
31,1617,4217,21.6,0.802,A1,89,5,3,12.20472441,70.866144,28.3223627,D
45,1618,1907,21.9,1.51,D1,23,0,5,17.71653543,71.850396,53.32514673,D
83,1621,3153,23.5,5.054,B1,109,8,8,32.67716535,77.09974,178.4803256,D
36,1622,1490,18.9,0.878,D1,73,5,4,14.17322835,62.007876,31.00627737,S
43,1626,2990,38.9,1.944,C1,10,0,4,16.92913386,127.624676,68.65171209,D
34,1628,1670,19.2,0.636,D1,44,0,3,13.38582677,62.992128,22.46012803,S
29,1632,4501,14,0.426,A1,70,3,3,11.41732283,45.93176,15.04404802,S
32,1635,3279,17.4,0.533,B1,84,0,3,12.5984252,57.086616,18.82271736,S
30,1643,1032,20.7,0.634,D1,133,0,3,11.81102362,67.913388,22.3894987,D
34,1649,4618,20.4,0.769,A1,37,4,3,13.38582677,66.929136,27.1569787,D
27,1650,1406,23.2,0.596,D1,74,0,3,10.62992126,76.115488,21.04754136,D
53,1652,2331,35.1,2.809,C1,78,0,5,20.86614173,115.157484,99.19889879,D
